Neutral Citation,Judge,Court,Link,Judge ID
2022_IECA_42,Edwards J.,Court of Appeal,https://en.wikipedia.org//wiki/John_A._Edwards,25997
2022_IECA_42,Donnelly J.,Court of Appeal,https://en.wikipedia.org//wiki/Aileen_Donnelly,43866
2022_IECA_43,Edwards J.,Court of Appeal,https://en.wikipedia.org//wiki/John_A._Edwards,25997
2022_IECA_43,McCarthy J.,Court of Appeal,https://en.wikipedia.org//wiki/Patrick_McCarthy_(judge),51049
2022_IECA_43,Kennedy J.,Court of Appeal,https://en.wikipedia.org//wiki/Isobel_Kennedy,12485
2022_IECA_73,Birmingham P.,Supreme Court,https://en.wikipedia.org//wiki/George_Birmingham,14013
2022_IECA_73,Birmingham P.,Court of Appeal,https://en.wikipedia.org//wiki/George_Birmingham,14013
2022_IECA_73,Edwards J.,Court of Appeal,https://en.wikipedia.org//wiki/John_A._Edwards,25997
2022_IECA_73,Kennedy J.,Court of Appeal,https://en.wikipedia.org//wiki/Isobel_Kennedy,12485
2022_IEHC_100,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2022_IEHC_101,Twomey J.,High Court,https://en.wikipedia.org//wiki/Michael_Twomey_(judge),21245
2022_IEHC_102,Stack J.,High Court,https://en.wikipedia.org//wiki/Siobh%C3%A1n_Stack,46033
2022_IEHC_107,Barr J.,High Court,https://en.wikipedia.org//wiki/Anthony_Barr_(judge),28678
2022_IEHC_108,Barr J.,High Court,https://en.wikipedia.org//wiki/Anthony_Barr_(judge),28678
2022_IEHC_109,Allen J.,Court of Appeal,https://en.wikipedia.org/wiki/Senan_Allen,6010
2022_IEHC_110,"O'Connor, Tony J.",High Court,https://en.wikipedia.org//wiki/Tony_O%27Connor_(judge),55629
2022_IEHC_113,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2022_IEHC_118,Biggs J.,High Court,https://en.wikipedia.org//wiki/Caroline_Biggs,6915
2022_IEHC_120,Stack J.,High Court,https://en.wikipedia.org//wiki/Siobh%C3%A1n_Stack,46033
2022_IEHC_121,Holland J.,High Court,https://en.wikipedia.org//wiki/David_Holland_(judge),27542
2022_IEHC_124,Egan J.,High Court,https://en.wikipedia.org//wiki/Emily_Egan,31435
2022_IEHC_125,Egan J.,High Court,https://en.wikipedia.org//wiki/Emily_Egan,31435
2022_IEHC_128,Hanna J.,High Court,https://en.wikipedia.org//wiki/Michael_Hanna_(judge),22985
2022_IEHC_138,Heslin J.,High Court,https://en.wikipedia.org//wiki/Mark_Heslin,3178
2022_IEHC_149,Heslin J.,High Court,https://en.wikipedia.org//wiki/Mark_Heslin,3178
2022_IEHC_162,Biggs J.,High Court,https://en.wikipedia.org//wiki/Caroline_Biggs,6915
2022_IEHC_188,Barrett J.,High Court,https://en.wikipedia.org//wiki/Max_Barrett_(judge),59347
2022_IEHC_191,Biggs J.,High Court,https://en.wikipedia.org//wiki/Caroline_Biggs,6915
2022_IEHC_192,Biggs J.,High Court,https://en.wikipedia.org//wiki/Caroline_Biggs,6915
2022_IEHC_287,Biggs J.,High Court,https://en.wikipedia.org//wiki/Caroline_Biggs,6915
2022_IEHC_41,Phelan J.,High Court,https://en.wikipedia.org//wiki/Siobh%C3%A1n_Phelan,8597
2022_IEHC_42,Humphreys J.,High Court,https://en.wikipedia.org//wiki/Richard_Humphreys_(judge),3783
