,Neutral Citation,Citation,Citation ID
805,2021_IESC_74,2020_IESC_26,28054
813,2021_IESC_75,2019_IEHC_918,48319
814,2021_IESC_75,2020_IECA_334,40847
815,2021_IESC_75,2021_IESC_23,49740
816,2021_IESC_75,2009_IEHC_316,44867
821,2021_IECA_316,2018_IEHC_361,12095
822,2021_IECA_316,2015_IEHC_27,52176
823,2021_IECA_316,2013_IESC_17,15657
824,2021_IECA_316,2017_IESC_50,45003
825,2021_IECA_316,2017_IESC_17,62589
826,2021_IECA_316,2019_IEHC_151,32966
827,2021_IECA_316,2010_IEHC_218,57916
828,2021_IECA_316,2011_IEHC_108,39332
829,2021_IECA_316,2020_IESC_37,52699
830,2021_IECA_316,2020_IECA_289,62797
831,2021_IECA_316,2021_IESC_24,34021
843,2021_IECA_317,2020_IEHC_225,28903
844,2021_IECA_317,2014_IEHC_400,63607
845,2021_IECA_317,2018_IESC_31,23140
846,2021_IECA_317,2007_IEHC_296,53446
847,2021_IECA_317,2017_IEHC_7,33542
848,2021_IECA_317,2019_IEHC_84,4293
849,2021_IECA_317,2011_EWHC_606,31317
850,2021_IECA_317,2015_EWHC_1078,64368
851,2021_IECA_317,2015_EWHC_776,39592
852,2021_IECA_317,2020_IECA_89,54342
853,2021_IECA_317,2020_IEHC_122,50091
854,2021_IECA_317,2019_IEHC_352,34363
857,2021_IECA_317,2012_EWHC_344,38145
858,2021_IECA_317,2015_IEHC_18,47023
859,2021_IECA_317,2015_IEHC_606,23243
860,2021_IECA_317,2019_IEHC_929,54711
861,2021_IECA_317,2017_IEHC_384,50294
881,2021_IECA_322,2019_IECA_147,51421
882,2021_IECA_322,2018_IECA_310,33734
883,2021_IECA_322,2019_IECA_126,4021
884,2021_IECA_322,2016_IECA_27,10694
885,2021_IECA_322,2019_IESC_85,56851
886,2021_IECA_322,2019_IESC_24,58319
887,2021_IECA_322,2015_IECA_22,33416
888,2021_IECA_322,2015_IECA_187,53388
889,2021_IECA_322,2016_IECA_49,4398
890,2021_IECA_322,2015_IECA_325,15048
891,2021_IECA_322,2015_IECA_231,61255
892,2021_IECA_322,2015_IECA_256,44602
893,2021_IECA_322,2018_IECA_171,45166
894,2021_IECA_322,2019_IECA_27,15034
895,2021_IECA_322,2019_IECA_136,51508
896,2021_IECA_322,2019_IECA_191,2491
897,2021_IECA_322,2021_IECA_222,65351
898,2021_IECA_322,2021_IECA_31,43846
899,2021_IECA_322,2019_IECA_221,26085
900,2021_IECA_322,2018_IECA_281,15220
921,2021_IECA_325,2012_IESC_50,3869
922,2021_IECA_325,2015_UKSC_66,12447
923,2021_IECA_325,2017_IESC_6,22092
924,2021_IECA_325,2020_IESC_37,52699
925,2021_IECA_325,2012_IEHC_368,56598
926,2021_IECA_325,2001_IESC_10,45053
