Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2021_IEHC_639,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_644,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_644,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_663,Tribunal Decision,Tribunal Decision,,,,39458,35665
2021_IEHC_667,Constitution,Constitution,,,,8988,2159
2021_IEHC_670,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_671,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_683,National Planning Framework,National Planning Framework,,,,7368,23761
2021_IEHC_687,US Constitution,US Constitution,,,,34024,30948
2021_IEHC_698,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_698,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2021_IEHC_698,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_716,Constitution 1922,Constitution,1922,,https://www.irishstatutebook.ie/1922/en/act/pub/0001/index.html?q=Constitution&years=1922,29999,2159
2021_IEHC_716,Constitution 1937,Constitution,1937,,https://www.irishstatutebook.ie/1937/en/si/0320.html?q=Constitution&years=1937,19351,2159
2021_IEHC_733,Dublin City Development Plan 2016,Dublin City Development Plan,2016,,,56492,59814
2021_IEHC_737,Consultant Contract 2008,Consultant Contract,2008,,,21661,27507
2021_IEHC_738,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_742,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_742,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2021_IEHC_745,Dublin City Development Plan 2016,Dublin City Development Plan,2016,,,56492,59814
2021_IEHC_758,Criminal Code,Criminal Code,,,,18707,26220
2021_IEHC_784,Constitution,Constitution,,,,8988,2159
2021_IEHC_811,Constitution,Constitution,,,,8988,2159
2021_IEHC_825,Lisbon Treaty,Lisbon Treaty,,,,62744,18668
