Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2021_IECA_252,Civil Liability and Courts Act,Civil Liability and Courts Act,,,,40406,36795
2021_IECA_255,Legal Services Regulation Act 2015,Legal Services Regulation Act,2015,,,31429,24489
2021_IECA_258,Central Bank Act 1971,Central Bank Act,1971,,,14271,18107
2021_IECA_258,Legal Services Regulation Act 2015,Legal Services Regulation Act,2015,,,31429,24489
2021_IECA_259,Environment (Miscellaneous Provisions) Act 2011,Environment Act,2011,Miscellaneous Provisions,https://www.irishstatutebook.ie/2011/en/si/0433.html?q=Environment+Miscellaneous+Provisions+Act&years=2011,28974,42198
2021_IECA_259,Interpretation Act 2005,Interpretation Act,2005,,https://www.irishstatutebook.ie/2005/en/act/pub/0023/index.html?q=Interpretation+Act&years=2005,63146,15307
2021_IECA_259,Legal Services Regulation Act 2015,Legal Services Regulation Act,2015,,,31429,24489
2021_IECA_259,Local Government (Water Pollution) Act 1977,Local Government Act,1977,Water Pollution,,13978,32734
2021_IECA_259,Planning and Development (Amendment) Act 2018,Planning and Development Act,2018,Amendment,,17187,17780
2021_IECA_259,Planning and Development Act 2000,Planning and Development Act,2000,,https://www.irishstatutebook.ie/2000/en/si/0349.html?q=Planning+and+Development+Act&years=2000,53190,17780
2021_IECA_259,Roads Act 1993,Roads Act,1993,,https://www.irishstatutebook.ie/1993/en/si/0197.html?q=Roads+Act&years=1993,28546,30406
2021_IECA_259,Waste Management Act 1996,Waste Management Act,1996,,,16218,52333
2021_IECA_259,Water Services Act 2007,Water Services Act,2007,,https://www.irishstatutebook.ie/2007/en/si/0846.html?q=Water+Services+Act&years=2007,30017,22619
2021_IECA_260,Legal Services Regulation Act 2015,Legal Services Regulation Act,2015,,,31429,24489
2021_IECA_261,Criminal Justice Act,Criminal Justice Act,,,,22099,64073
2021_IECA_261,Misuse of Drugs Act,Misuse of Drugs Act,,,,37795,18580
2021_IECA_261,Offences Against the State (Amendment) Act,Offences Against the State Act,,Amendment,,45336,39324
2021_IECA_268,Building Control Act 1990,Building Control Act,1990,,https://www.irishstatutebook.ie/1990/en/act/pub/0003/index.html?q=Building+Control+Act&years=1990,42696,12364
2021_IECA_268,Latent Damage Act 1986,Latent Damage Act,1986,,,44912,26673
